                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     85,                 1.2177,                 1.0976,                 1.8274,                 0.9544,                0.95145,                0.98765,                0.75697,                  0.961,                0.86468,                 1.6212,              0.0003566,              0.0003566,              0.0003566
                     86,                 1.2322,                 1.1357,                 1.7949,                0.94701,                0.94773,                0.98606,                0.74848,                 0.9904,                0.86414,                  1.627,              0.0003368,              0.0003368,              0.0003368
                     87,                 1.2614,                 1.1443,                 1.8371,                0.96548,                0.93939,                0.98567,                0.76018,                0.93866,                0.86821,                 1.6091,               0.000317,               0.000317,               0.000317
                     88,                 1.2835,                 1.1502,                 1.8241,                0.92983,                0.90354,                0.97923,                 0.7396,                0.94234,                0.89551,                 1.6406,              0.0002972,              0.0002972,              0.0002972
                     89,                 1.2837,                 1.0977,                 1.8808,                0.94402,                 0.8942,                0.97451,                0.74222,                0.91167,                0.90869,                 1.6084,              0.0002774,              0.0002774,              0.0002774
                     90,                 1.2126,                 1.1016,                 1.8166,                0.96815,                0.92108,                0.98295,                0.76845,                0.89568,                 0.8503,                 1.5523,              0.0002576,              0.0002576,              0.0002576
                     91,                 1.0107,                 1.3234,                 1.7362,                0.98378,                0.93939,                0.98703,                0.76055,                0.95694,                0.84665,                 1.5599,              0.0002378,              0.0002378,              0.0002378
                     92,                0.96595,                 1.1507,                 1.6217,                0.95614,                0.96212,                0.98971,                0.76166,                0.95197,                0.83036,                 1.5486,               0.000218,               0.000218,               0.000218
                     93,                0.90848,                 1.0019,                  1.561,                 0.9417,                 0.9697,                0.98918,                0.77621,                 0.8656,                0.82195,                 1.5187,              0.0001982,              0.0001982,              0.0001982
                     94,                 1.0193,                 1.0371,                 1.7063,                0.94894,                0.94697,                0.98752,                0.78807,                0.85248,                0.84881,                 1.5218,              0.0001784,              0.0001784,              0.0001784
                     95,                 0.9386,                0.94219,                 1.6051,                0.93603,                0.95455,                0.98542,                0.78453,                0.85595,                0.87243,                 1.5193,              0.0001586,              0.0001586,              0.0001586
                     96,                0.92071,                0.92044,                 1.5815,                0.95314,                0.93182,                0.98538,                0.77942,                 0.8641,                0.88091,                 1.5206,              0.0001388,              0.0001388,              0.0001388
                     97,                0.94149,                0.96498,                 1.6048,                 0.9632,                0.93182,                0.98831,                0.77735,                0.86144,                0.85996,                 1.5168,               0.000119,               0.000119,               0.000119
                     98,                0.92512,                0.90819,                 1.5757,                0.98708,                0.93939,                0.98933,                0.78767,                0.84246,                0.83715,                  1.505,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.90647,                0.85628,                 1.5702,                0.99703,                0.93939,                0.99003,                0.80009,                0.82071,                0.81679,                 1.4905,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                 0.8913,                0.86208,                 1.5532,                0.98411,                0.93814,                0.98944,                 0.7966,                0.81484,                0.80979,                 1.4881,               5.96e-05,               5.96e-05,               5.96e-05
